"sample_pc","sample_eigenvalue"
1,2.11179748044886
2,1.94632250840398
3,1.63788784328946
4,1.61784378029185
5,1.3937531284404
6,1.24820172856338
7,1.09309309456955
8,0.989522246459352
9,0.825162442999322
10,0.765612606877623
11,0.691206595850867
12,0.625865963100827
13,0.543761024260837
14,0.531840289306503
15,0.504374943359745
16,0.479245607300502
17,0.468558225773087
18,0.44036690928212
19,0.404933066097202
20,0.397954821875684
21,0.351606321822074
22,0.338774435102931
23,0.298541546834149
24,0.283600451293254
25,0.270700625078533
