"spike_index","K0","hat_lambda","mhat1","mhat2","mhat3","mhat4","hat_alpha","hat_Delta","hat_r2","d_alpha","d_Delta","d_r2","se_alpha","se_Delta","se_r2","ci_alpha_lower","ci_alpha_upper","ci_Delta_lower","ci_Delta_upper","ci_r2_lower","ci_r2_upper","ci_r2_display_lower","ci_r2_display_upper","phase_lower_bound","phase_certified","fpca_alpha_hat","fpca_var_lambda","fpca_alpha_se","fpca_alpha_ci_lower","fpca_alpha_ci_upper","fpca_alpha_ci_length","fpca_score_identity_error","sample_gap_previous","sample_gap_next","minimum_neighbor_gap","previous_relative_gap","next_relative_gap","relative_neighbor_gap","phase_interior","separation_pass","regular_inference_valid","inference_status","phase_valid","fpca_simple_gap_wald_valid","fpca_equality_rejected","proposed_equality_rejected","proposed_gap_local_inference_valid","prespecified_cluster_member","componentwise_interpretation_supported","domain_hours","grid_size","n_subjects","sample_effective_rank","effective_rank_over_n","pc1_variance_percent","cumulative_pc1_5_percent"
1,8,1.65080212076858,-0.591373759110635,0.369760686104024,-0.231421079747371,0.144990878634941,1.69097797221151,0.94580883286834,0.968827142988417,1.05729611021639,0.00115390538986526,0.020065448905796,0.200773151346672,0.000219118579214051,0.00381028868930367,1.29746982650942,2.0844861179136,0.945379368344737,0.946238297391944,0.961359114386681,0.976295171590152,0.961359114386681,0.976295171590152,0.945448414878588,1,1.65080212076858,4.35595814042904,0.170410448436103,1.3168037792445,1.98480046229266,0.667996683048162,2.22044604925031e-16,Inf,0.527397003618219,0.527397003618219,Inf,0.319479237991694,0.319479237991694,TRUE,TRUE,TRUE,"regular_separated",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,6,4320,150,7.50297694319607,0.0500198462879738,13.3280430897076,36.2062726868007
2,8,1.12340511715036,-0.882546684541307,0.824566992218264,-0.772282132393781,0.725296573448049,1.13308453537474,0.944603237511937,0.952742073317821,1.05864553527678,0.00432066135116393,0.0464245715508819,0.134619187697768,0.000549422731243809,0.00590342839330325,0.869235775859073,1.3969332948904,0.943526388746412,0.945680086277463,0.941171566281636,0.964312580354007,0.941171566281636,0.964312580354007,0.943699517539721,1,1.12340511715036,1.60923472664811,0.103577176593048,0.920397581407642,1.32641265289308,0.406015071485438,2.22044604925031e-16,0.527397003618219,0.431127630491632,0.431127630491632,0.319479237991694,0.383768619093737,0.319479237991694,TRUE,TRUE,TRUE,"regular_separated",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,6,4320,150,7.50297694319607,0.0500198462879738,13.3280430897076,36.2062726868007
3,8,0.692277486658729,-1.47962819390489,2.32965144049443,-3.70129894152758,5.94623587475166,0.675845461798683,0.939754142677068,0.917447966710937,1.06410810507449,0.0268650148397036,0.145474370596248,0.0805025515720625,0.00203240839187675,0.0110055152906837,0.518063360053863,0.833627563543504,0.935770695427113,0.943737589927024,0.895877553109893,0.939018380311982,0.895877553109893,0.939018380311982,0.936411128362243,1,0.692277486658729,1.64046223715549,0.104577315486533,0.487309714705241,0.897245258612217,0.409935543906977,0,0.431127630491632,0.114163819679418,0.114163819679418,0.383768619093737,0.164910490200149,0.164910490200149,TRUE,TRUE,TRUE,"regular_separated",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,6,4320,150,7.50297694319607,0.0500198462879738,13.3280430897076,36.2062726868007
4,8,0.578113666979311,-1.80470851382772,3.48259043306544,-6.82840547009823,13.668591394281,0.554106102086833,0.935215576588895,0.896378493285314,1.06927218176519,0.0579858907403255,0.234818601189891,0.066161666424306,0.00358790140237664,0.0145294998103293,0.42443161873804,0.683780585435626,0.928183419060156,0.942247734117634,0.867901196943688,0.924855789626941,0.867901196943688,0.924855789626941,0.929314003954052,1,0.578113666979311,0.833874562716135,0.0745597998350378,0.431979144608122,0.7242481893505,0.292269044742379,2.22044604925031e-16,0.114163819679418,0.138228377458452,0.114163819679418,0.164910490200149,0.239102421121967,0.164910490200149,TRUE,TRUE,TRUE,"regular_separated",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,6,4320,150,7.50297694319607,0.0500198462879738,13.3280430897076,36.2062726868007
5,8,0.439885289520859,-2.46729843726104,6.62343898420851,-18.5926125563122,55.6826423213427,0.405301598257447,0.919093780893073,0.846834816299939,1.08802825216412,0.2253674919657,0.555842612185005,0.0488166272826632,0.0101115764549638,0.0249390230197482,0.309622766936711,0.500980429578182,0.899275455214421,0.938912106571725,0.797955229371617,0.89571440322826,0.797955229371617,0.89571440322826,0.902461717686929,1,0.439885289520859,0.743889121990942,0.0704220193779825,0.301860667821431,0.577909911220286,0.276049243398855,1.66533453693773e-16,0.138228377458452,0.0890150027583765,0.0890150027583765,0.239102421121967,0.20235958073373,0.20235958073373,TRUE,TRUE,TRUE,"regular_separated",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,6,4320,150,7.50297694319607,0.0500198462879738,13.3280430897076,36.2062726868007
6,8,0.350870286762482,-3.26075667879036,12.1417035016259,-52.2449093897151,280.621377118259,0.306677283375516,0.875703653680236,0.765406555313321,1.14193882347915,1.01467100611086,1.5554750942194,0.0378418530554,0.0336244204359721,0.0515457209585449,0.232508614278675,0.380845952472357,0.809801000624698,0.941606306735774,0.664378798677422,0.866434311949221,0.664378798677422,0.866434311949221,0.820396403771986,1,0.350870286762482,0.250309000530214,0.0408500510428252,0.270805657951922,0.430934915573043,0.160129257621121,5.55111512312578e-17,0.0890150027583765,0.0171311304617797,0.0171311304617797,0.20235958073373,0.0488246828189712,0.0488246828189712,TRUE,FALSE,FALSE,"weak_sample_separation",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,6,4320,150,7.50297694319607,0.0500198462879738,13.3280430897076,36.2062726868007
1,8,2.59188319572135,-0.383452360989933,0.155575480180567,-0.06323391311129,0.0257517899046397,2.60788588553313,0.94510852852968,0.950943775521325,1.0580795430507,0.00137715000178185,0.0203125181788647,0.309754133890229,0.000403162417079662,0.00594651556865256,2.00077893904588,3.21499283202037,0.944318344712283,0.945898712347076,0.939288819173259,0.962598731869391,0.939288819173259,0.962598731869391,0.944445385365696,1,2.59188319572135,11.5515296049405,0.277507112280514,2.04797925019783,3.13578714124487,1.08780789104704,1.33226762955019e-15,Inf,1.05806286802614,1.05806286802614,Inf,0.408221662832948,0.408221662832948,TRUE,TRUE,TRUE,"regular_separated",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,12,8640,150,9.91110566307774,0.0660740377538516,10.0896916448519,26.4298562128324
2,8,1.5338203276952,-0.672613079370324,0.480705594395287,-0.345930829159869,0.250967561039015,1.48673885577153,0.941133949375283,0.912245316975612,1.06254800463185,0.00931288242631534,0.0662401621313057,0.17696131633455,0.0015510075082214,0.0110319216015386,1.13990104909901,1.83357666244405,0.938094030519418,0.944173868231148,0.890623147956327,0.933867485994897,0.890623147956327,0.933867485994897,0.938582769049956,1,1.5338203276952,4.37501003676184,0.170782708663413,1.19909236953272,1.86854828585769,0.669455916324973,4.44089209850063e-16,1.05806286802614,0.497177981814645,0.497177981814645,0.408221662832948,0.324143560257628,0.324143560257628,TRUE,TRUE,TRUE,"regular_separated",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,12,8640,150,9.91110566307774,0.0660740377538516,10.0896916448519,26.4298562128324
3,8,1.03664234588056,-1.04582072740163,1.17598662530135,-1.35382269134279,1.60726073898498,0.956186824184032,0.930062443169878,0.857878763453402,1.07519662506934,0.0497768450969258,0.18301123886327,0.114486972121788,0.00530024010869155,0.0194870427540283,0.731796482126286,1.18057716624178,0.919674163447427,0.940450722892328,0.819684861490314,0.89607266541649,0.819684861490314,0.89607266541649,0.921344324003383,1,1.03664234588056,2.48600547499071,0.128737600697199,0.78432128505795,1.28896340670317,0.504642121645216,4.44089209850063e-16,0.497177981814645,0.218576171728348,0.218576171728348,0.324143560257628,0.210850128394748,0.210850128394748,TRUE,TRUE,TRUE,"regular_separated",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,12,8640,150,9.91110566307774,0.0660740377538516,10.0896916448519,26.4298562128324
4,8,0.81806617415221,-1.39070089352443,2.12712887194176,-3.46025657115099,6.15005825750577,0.719061880708019,0.90922980772864,0.799192676825557,1.09983195832318,0.176734373274491,0.40081143111284,0.0870760664529627,0.0139924412227802,0.0317331048134838,0.548395926544796,0.889727834871243,0.881805126876197,0.936654488581082,0.736996934273494,0.86138841937762,0.736996934273494,0.86138841937762,0.886214290033444,1,0.81806617415221,1.41615249105305,0.0971648939021719,0.627626481542297,1.00850586676212,0.380879385219825,0,0.218576171728348,0.00906357594356832,0.00906357594356832,0.210850128394748,0.011079269904982,0.011079269904982,TRUE,FALSE,FALSE,"weak_sample_separation",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,12,8640,150,9.91110566307774,0.0660740377538516,10.0896916448519,26.4298562128324
