"domain_hours","sample_pc","sample_eigenvalue","eigengap_to_next","relative_eigengap_to_next"
24,1,2.83385114856947,0.571890918608675,0.20180697172375
24,2,2.26196022996079,0.646254265872527,0.285705406006952
24,3,1.61570596408826,0.0792008301929987,0.0490193339341242
24,4,1.53650513389527,0.453902859435105,0.295412523799641
24,5,1.08260227446016,0.0476924674483361,0.0440535444765419
24,6,1.03490980701182,0.0683029379659261,0.0659989281221931
24,7,0.966606869045899,0.0149005497241671,0.0154153153689823
24,8,0.951706319321732,0.0523576479955586,0.0550145007263094
24,9,0.899348671326173,0.00777551240865071,0.00864571512312905
24,10,0.891573158917522,0.133750845475826,0.150016680221975
24,11,0.757822313441696,0.0404952061842933,0.0534362811255607
24,12,0.717327107257403,0.015615753119685,0.0217693615112213
24,13,0.701711354137718,0.027776586636471,0.0395840632657335
24,14,0.673934767501247,0.0166480613663818,0.0247027786207082
24,15,0.657286706134865,0.0543788161945101,0.0827322623247342
24,16,0.602907889940355,0.0306278796910365,0.0508002635262685
24,17,0.572280010249318,0.0125674973390296,0.0219603989549705
24,18,0.559712512910289,0.021152267433042,0.0377913070462877
24,19,0.538560245477247,0.00947795098291615,0.0175986829004009
24,20,0.529082294494331,0.0460902258703368,0.0871135291238341
24,21,0.482992068623994,0.0126731687924956,0.0262388755753287
24,22,0.470318899831498,0.00767915837005617,0.0163275564150354
24,23,0.462639741461442,0.0221557693675996,0.0478898965696533
24,24,0.440483972093842,0.00730466012269676,0.0165832597448984
24,25,0.433179311971146,0.00498681790016592,0.0115121331105907
